Condition,Cylinder heating zone 1,Cylinder heating zone 4,Maximum injection pressure,Mould temperature control unit 1,Cycle time,Cylinder heating zone 5,Injection time,Cylinder heating zone 2,Dosage time,Cylinder heating zone 3,Switch-over volume,Material cushion
1,271.52,316.14,1506.14,92.63,29.86,317.33,0.234,300.76,2.986,313.86,1.48334,0.958447
1,271.19,320.24,1452.35,91.95,30.138,302.82,0.234,301.67,3.008,299.54,1.36334,0.959772
1,283.09,307.25,1474.93,87.64,28.566,306.27,0.234,286.21,3.098,309.44,1.38334,0.919388
1,269.67,298.81,1546.73,94.44,27.786,318.56,0.224,285.23,3.048,306.52,1.51334,0.936952
1,290.22,312.94,1598.14,94.31,29.836,324.73,0.244,302.07,2.998,310.1,1.511637872,0.952396617
1,288.4,310.0475,1552.22,88.14,29.516,310.75,0.244,297.73,2.84,302.39,1.53334,0.892977
1,273.18,319.06,1493.92,92.63,28.718,322.32,0.233574468,283.82,3.048,308.1829167,1.39334,0.946375
1,293.44,313.39,1529.97,88.24,28.018,316.2410417,0.244,303.69,2.86,325.04,1.65334,0.955242
1,291.5,318.36,1444.43,86.89,28.618,320.47,0.234,307.62,3.016,295.05,1.58334,0.942977
1,279.2372917,299.94,1440.62,93.76,27.968,310.33,0.224,283.81,2.826,322.36,1.54334,0.89411
1,278.82,323.96,1504.94,88.25,29.396,320.79,0.234,302.27,3.054,313.23,1.36334,0.917315
1,288.62,296.76,1506.99,90.83,28.75720833,302.41,0.224,291.26,2.894,304.61,1.44334,0.920905
1,273.29,322.49,1544.978542,87.72,28.926,327.86,0.244,295.26,3.024,304.25,1.47334,0.90411
1,266.78,298.75,1466.48,89,28.176,310.47,0.244,299.11,3.064,298.18,1.44334,0.9477
1,270.37,321.46,1569.26,87.91,29.956,310.83,0.244,303.05,2.868,299.07,1.49334,0.944132
1,291.27,301.07,1523.53,87.64,30.146,328.03,0.224,296.6125,3.038,301.44,1.46334,0.969772
1,279.27,301.7,1497.32,85.76,28.436,319.54,0.234,302.97,3.048,302.08,1.61334,0.972037
1,268.11,321.16,1538.77,94.19,28.286,328.27,0.224,288.56,2.94,298.87,1.56334,0.892037
1,278.05,299.56,1542.84,86.52,28.886,305.98,0.224,285.56,2.778,315.46,1.39334,1.010734
1,286.63,296.27,1516.07,92.76,29.704,316.76,0.224,300.34,2.926,309.32,1.52334,0.931097
1,274.86,309.04,1541.32,86.45,28.554,302.24,0.244,280.3,2.816,316.62,1.42334,0.961097
1,266.39,304.76,1512.34,89.75,29.454,326.86,0.244,301.58,2.906,298.79,1.54334,0.952396617
1,288.67,299.33,1590.78,89.93787234,28.75720833,305.32,0.234,290.11,3.014,300.37,1.63334,0.996952
1,266.33,298.94,1563.71,86.1,30.202,327.13,0.224,291.31,2.984,318.58,1.46334,0.96223
1,268.17,311.64,1582.51,93.59,27.452,329.81,0.224,298.75,2.844,324.57,1.34334,0.969217
1,281.51,314.37,1553.17,90.34,28.752,317.41,0.234,302.07,2.929583333,298.3,1.511637872,0.96676
1,283.57,298.71,1626.9,89.93787234,29.142,312.89,0.224,293.86,3.064,317.69,1.60334,0.967892
1,270.75,320.13,1579.18,88.35,28.512,307,0.224,293.6,2.98,314.99,1.36334,0.947892
1,275.4,320.28,1542,92.25,27.532,302.96,0.233574468,306.23,3.01,301.69,1.51334,0.987529
1,278.78,303.72,1544.978542,86.61,27.752,316.2,0.234,306.5,2.812,302.76,1.58334,0.978085
1,291.27,324.17,1508.59,94.18,27.612,330.4,0.244,307.52,2.872,311.3,1.44334,1.007144
1,293.22,304.85,1627.19,87.06,29.486,307.6,0.234,291.3,2.902,323.85,1.67334,0.930157
1,280.42,304.5,1621.28,90.41,27.516,316.2410417,0.234,290.93,2.93,296.95,1.71334,0.936952
1,270.18,320.48,1619.85,86.95,29.5,330.7,0.224,306.88,2.93,311.73,1.46334,0.934687
1,281.26,301.88,1543.97,88.29,28.56,320.27,0.234,284.95,2.776,299.52,1.46334,0.98035
1,274.6,297.78,1630.61,89.94,27.704,311.57,0.244,298.69,2.932,296.39,1.46334,0.999217
1,291.85,322.08,1553.32,93.96,29.934,302.78,0.224,295.23,2.852,308.1829167,1.55334,0.996012
1,280.72,299.14,1596.67,89.93787234,27.434,313.75,0.224,296.6125,2.942,311.42,1.57334,0.93488
1,267.34,308.78,1522.59,92.33,29.894,322.23,0.224,304.62,2.784,300.61,1.54334,0.949217
1,277.23,310.0475,1625.71,87.78,27.942,314.9,0.244,309.51,2.964,321.09,1.511637872,0.953747
1,283.41,320,1487.53,93.34,29.942,329.49,0.244,287.61,2.878,307.33,1.46334,0.978662
1,278.15,296.88,1579.5,87.71,27.762,307.8,0.244,300.43,2.808,309.22,1.60334,0.974687
1,288.08,299.91,1586.2,91.83,29.482,309.12,0.233574468,287.64,2.852,298.81,1.54334,0.914687
1,267.12,307.22,1561.99,87.91,28.132,304.82,0.234,305.52,3.012,312.06,1.58334,0.951482
1,279.2372917,301.39,1588.74,94.37,27.592,327.43,0.234,305.16,2.85,297.61,1.54334,0.968085
1,288.89,320.83,1488.08,88.5,28.992,319.91,0.234,292.87,2.926,308.68,1.52334,0.918085
1,277.92,308.71,1569.24,93.58,27.524,323.13,0.224,287.95,2.86,319.67,1.62334,0.952396617
1,270.33,325.36,1508.52,88.99,28.674,326.18,0.224,286.81,2.929583333,316.9,1.73334,0.968085
1,287.66,323.61,1540.38,87.74,28.744,310.13,0.244,306.53,2.854,312.89,1.43334,0.946952
1,285.89,324.48,1601.45,87.56,29.632,315.02,0.244,301.95,2.904,311.58,1.41334,0.96582
4,269.22,316.9,1599.69,91.6,29.674,313.18,0.23,296.41,2.858,313.92,1.54027,0.891631
4,287.58,307.24,1589,93.02,27.674,326.27,0.25,297.92,2.758,320.06,1.363427895,0.822763
4,267.32,310.55,1537.48,86.99,28.324,311.44,0.24,289.47,2.922,319.33,1.19027,0.821631
4,284.88,314.78,1674.58,87.5,27.6,307.67,0.23,282.61,2.992,316.68,1.45027,0.891631
4,286.52,307.29,1606.426154,86.44,29.3,312.58,0.24,286.09,2.942,311.4387179,1.31027,0.891631
4,292.63,306.85,1535.1,88.84,28.742,303.01,0.23,298.74,2.97,311.04,1.15027,0.830498
4,267.66,325.39,1535.02,93.89,27.972,319.28,0.25,296.4015385,3.05,298.71,1.35027,0.854567513
4,286.4,310.58,1563.3,92.8,29.912,317.0430769,0.25,300.46,2.936,299.79,1.41027,0.821631
4,283.33,313.54,1626.71,90.05333333,28.86235897,322.78,0.25,292.5,2.896,323.02,1.34027,0.830498
4,276.88,315.99,1579.49,86.69,29.694,318.24,0.25,283.81,2.992,322.56,1.28027,0.890498
4,286.95,295.76,1667.8,92.58,29.524,326.54,0.23,305.53,2.796,318.52,1.46027,0.862763
4,283.56,320.86,1664.29,93.31,28.872,306.67,0.25,280.77,2.926,312.22,1.29027,0.870498
4,286.67,321.85,1635.12,89.39,29.052,323.05,0.24,298.93,2.724,315.5,1.33027,0.892763
4,277.8,317.69,1538.4,85.55,28.186,330.61,0.23,301.3,2.964,324.66,1.363427895,0.851631
4,280.28,301.91,1554.84,90.83,30.076,327,0.25,303.37,2.852,319.97,1.50027,0.882763
4,283.52,317.44,1558.72,94.06,29.716,307.56,0.23,291.48,2.772,309.73,1.45027,0.831631
4,271.9,313.54,1570.62,85.94,29.962,319.68,0.24025641,309.3,2.946,309.57,1.21027,0.811631
4,277.92,317.56,1588.67,88.75,27.784,328.99,0.25,309.71,2.952,302.66,1.38027,0.891631
4,288.55,312.57,1656.78,88.59,28.444,310.7,0.24,303.69,2.754,308.1,1.44027,0.841631
4,270.34,310.6610256,1626.85,91.95,28.924,311.21,0.24,303.5,2.986,321.6,1.30027,0.843896
4,283.91,302.49,1606.426154,91.46,27.862,311.43,0.25,296.4015385,2.884512821,317.84,1.38027,0.821631
4,267.38,296.61,1531.45,90.09,28.236,321.53,0.24,293.43,2.744,304.63,1.33027,0.841631
4,286.39,322.19,1635.85,85.68,29.816,314.34,0.24,283.42,2.864,321.87,1.47027,0.821631
4,281.08,296.22,1679.46,92.83,28.86235897,328.51,0.23,308.03,2.794,315.19,1.42027,0.831631
4,281.48,320.65,1619.5,88,29.582,306.75,0.25,290.68,2.808,323.71,1.18027,0.891631
4,285.94,296.36,1649.69,87.23,29.78,317.0430769,0.23,308.45,2.998,307.5,1.35027,0.871631
4,280.6461538,305.33,1538.2,93.07,27.65,317.23,0.25,293.23,2.998,314.12,1.24027,0.854567513
4,268.84,315.03,1623.37,92.86,29.23,319.83,0.25,301.14,2.974,295.84,1.40027,0.861631
4,278.51,299.97,1563.36,87.89,27.752,315.22,0.25,286.06,2.942,307.94,1.41027,0.811631
